Issue Type,Priority,Issue key,Issue id,Summary,Assignee,Reporter,Status,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Custom field (Found in Build),Created,Resolution
Defect,1 - Critical,PLAT-20476,22413281,CLONE - Error parsing tagtransformer AccountIDNumField50FTransformer2009,emmartinc,emmartinc,Resolved,7.3.1,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.23,13/12/2016 15:50,Fixed
Defect,1 - Critical,PLAT-20756,22419160,Error parsing tagtransformer Option59FFieldTransformer,emmartinc,emmartinc,Resolved,7.3.1,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.23,02/03/2017 15:11,Fixed
Defect,1 - Critical,PLAT-20771,22419465,ProfileIndex looping issue,EBaggott,josephwilliams,New,,,,,,,,,,,,,,,,,,,,,,,7.1.,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,7.1.1.10,06/03/2017 14:22,
Defect,1 - Critical,PLAT-20876,22420623,CLONE - Non thread safe code in java.text.SimpleDateFormat caused scenario engine failure at AIB,dejanlazic,SHanley,New,,,,,,,,,,,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,6.6.2.13,21/03/2017 10:21,
Defect,1 - Critical,PLAT-21328,22427783,velocity report - exported rows are not sorted,Pnolan,BYang,New,,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.2.0.15,12/06/2017 20:29,
Defect,1 - Critical,PLAT-22613,22482438,AlertFeedback data source not working in SM Correspondent Banking,EBaggott,lukasz.pacan,New,,,,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,Core 7.6.0.4 + SM DUX 7.7.5-SMC-a217 ,01/05/2019 12:42,
Defect,1 - Critical,PLAT-22897,22504497,CLONE - Fuzzy Abbreviation Scores are incorrect (rounding),AManayangath,ADuggan,New,,,,,,,,,,,,,,,,,,,,,,,7.4,7.6,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.4.0.12,29/11/2019 11:50,
Defect,1 - Critical,PLAT-23032,22514677,WLM-PROCESS for swift doesn't take into consideration provided datasource variable,AManayangath,TRomano,New,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.5.0.12,09/03/2020 11:16,
Defect,2 - High,PLAT-20477,22413282,CLONE - Not possible to enter multivalues to a manual maintained list,sabineschoppitsch,sabineschoppitsch,Resolved,7.2.1,,,,,,,,,,,,,,,,,,,,,,7.2.,7.2.1,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.19,13/12/2016 16:10,Fixed
Defect,2 - High,PLAT-20485,22413570,White Space Under interactive List ,EFitzgerald,EFitzgerald,Resolved,7.4,,,,,,,,,,,,,,,,,,,,,,7.3.1,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,123546,16/12/2016 14:44,Fixed
Defect,2 - High,PLAT-20498,22413718,Concurrency issue on MT103 / field 59F [Clone:RNL-265] ,,NBresnan,Resolved,7.3.1,,,,,,,,,,,,,,,,,,,,,,7.1.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.1.1.8,20/12/2016 13:11,Fixed
Defect,2 - High,PLAT-20586,22415734,Main Menu home page item fails to navigate in Websphere with servlet caching enabled.,Pnolan,stephenhertz,Assigned,,,,,,,,,,,,,,,,,,,,,,,7.1.,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.1.1.11,23/01/2017 16:14,
Defect,2 - High,PLAT-20591,22415808,CLONE - Datasource conditions are duplicated on import.,JKerkhofs,JKerkhofs,Resolved,7.1.1,,,,,,,,,,,,,,,,,,,,,,7.1.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.1.1.8,24/01/2017 13:17,Fixed
Defect,2 - High,PLAT-20644,22417304,CLONE - Property settings in the database incorrectly override local settings from file after reload,Pnolan,RHome,New,,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Other,,,,,7.2.0.15,10/02/2017 12:32,
Defect,2 - High,PLAT-20699,22417850,CLONE -  There are services manager functions that present the user with a comma separated string (e.g. alert keys->ALERT_KEY_LIST) which are not compatible with SQL prepared Statements.,CFinnegan,GJat,Verified,7.4,,,,,,,,,,,,,,,,,,,,,,7.2.,7.2.1,7.3,,,,,,,,,,,,,,,,,,,,Services Manager,,,,,7.2.1.46,17/02/2017 02:53,Fixed
Defect,2 - High,PLAT-20718,22418335,CLONE - Context sensitive period normalisation does not work correctly if there are two matching patterns in the input,AManayangath,RHome,New,,,,,,,,,,,,,,,,,,,,,,,7.1.,7.2.,7.3,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.0.6,21/02/2017 15:00,
Defect,2 - High,PLAT-20732,22418525,Cannot Edit LDAP Server on LDAP Server List Screen,Pnolan,JCamacho,New,7.2.1,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Administration,,,,,7.2.1.47,23/02/2017 10:25,
Defect,2 - High,PLAT-20763,22419278,db2 - WLM List Filters based on numbers cause indexing to fail,AManayangath,CMurphy,New,,,,,,,,,,,,,,,,,,,,,,,7.2.,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.47,03/03/2017 12:29,
Defect,2 - High,PLAT-20913,22421509,"CLONE - WLM ""Job Schedule Concepts"" not working properly",AManayangath,WAllen,New,,,,,,,,,,,,,,,,,,,,,,,6.7.2,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,6.7.2.3,30/03/2017 14:15,
Defect,2 - High,PLAT-21082,22424115,CLONE - UI server re-indexing does not happen when there is no index file.,AManayangath,ZHtet,New,,,,,,,,,,,,,,,,,,,,,,,7.2.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.48,28/04/2017 01:15,
Defect,2 - High,PLAT-21138,22424424,Watchlist Worldcheck List filter error for TODAY - 10,KGudivada,KGudivada,Resolved,7.4,,,,,,,,,,,,,,,,,,,,,,7.3.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.3.1.5,03/05/2017 02:26,Fixed
Defect,2 - High,PLAT-21179,22425658,Alert not generated for 97B - xx_acc,yeankaitan,yeankaitan,Resolved,7.4,,,,,,,,,,,,,,,,,,,,,,7.2.,7.2.1,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,7.2.1.48,16/05/2017 10:27,Fixed
Defect,2 - High,PLAT-21188,22425928,Generic Query section - Clear button doesn't properly clear the section form,,TKazmierczak,Closed,7.4,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.4.0.0-a9,19/05/2017 09:16,Fixed
Defect,2 - High,PLAT-21191,22426023,Date and Date Time columns cause Interactive Lists to load indefinitely,,TKazmierczak,Closed,7.4,,,,,,,,,,,,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,,,Application Builder,,,,,7.4.0.0-a9,22/05/2017 08:46,Fixed
