Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Continuation),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Hijacking),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Outward issue link (Relate),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (AF Phase 4 Date),Custom field (AF Phase 5 Date),Custom field (AF Phase 6 Date),Custom field (AS Admin Console),Custom field (AS Config Files Directory),Custom field (AS Log Directory),Custom field (Accumulo),Custom field (Analytics: Analytics Deployed),Custom field (Analytics: Version),Custom field (Analytics: data Types Used),Custom field (App Server Login),Custom field (AppServer Version),Custom field (Application Login/Password admin),Custom field (Application Server),Custom field (Application Server (Compliance)),Custom field (Application Server (Cyber)),Custom field (Assignable users),Custom field (Bugzilla ID),Custom field (Build Java Version (Cyber)),Custom field (Build Stage),Custom field (CE Resolution),Custom field (CS Go-Live Date),Custom field (Change Request in progress (Compliance)),Custom field (Change Request in progress? (Compliance)),Custom field (Change Type),Custom field (Change Type),Custom field (Change Type),Custom field (Change Type),Custom field (Check In Rejected Count),Custom field (Client Reference),Custom field (Closed Date),Custom field (Codebase URL),Custom field (Compliance Product Engineering Resource),Custom field (Continued Project Delivery?),Custom field (Contract Type),Custom field (Crucible ID),Custom field (Current Investigation Notes),Custom field (Current Project Phase (Assurance Framework)),Custom field (Customer Investigation),Custom field (Cyber Product Engineer (Non JIRA User)),Custom field (Cyber Product Engineering Resource),Custom field (Database),Custom field (Database (Compliance)),Custom field (Database (Cyber)),Custom field (Date of First Response),Custom field (Defect Merge),Custom field (Deliverable Location),Custom field (Deliverable Name),Custom field (Details of Continued Project Delivery),Custom field (Dev High-Level Estimate),Custom field (Epic Link),Custom field (Error Message Received),Custom field (Failed Client Count),Custom field (Failed Count),Custom field (Failed in Build),Custom field (Failure Category),Custom field (Feature),Custom field (Fixed in Build),Custom field (Forwarded),Custom field (Found in Build),Custom field (GoBackToUser),Custom field (Granular Priority),Custom field (HDFS),Custom field (Hadoop Cluster: Accumulo version),Custom field (Hadoop Cluster: Ambari Version),Custom field (Hadoop Cluster: Data Retention),Custom field (Hadoop Cluster: HCat Version),Custom field (Hadoop Cluster: Hadoop Version),Custom field (Hadoop Cluster: Hire Version),Custom field (Hadoop Cluster: Java Version),Custom field (Hadoop Cluster: Number of Master Nodes),Custom field (Hadoop Cluster: Number of Slave Nodes),Custom field (Hadoop Cluster: OS),Custom field (Hadoop Cluster: Oozie Version),Custom field (Hadoop Cluster: Total Disk Space),Custom field (Hadoop Cluster: ZooKeeper Version),Custom field (Hadoop Cluster: hadoop Distro),Custom field (Handover Categorization),Custom field (Hardware Details (Compliance)),Custom field (Hardware Details (Cyber)),Custom field (Hardware Details (Cyber)),Custom field (Has Product Engineering been involved?),Custom field (Has Product Engineering been involved? (Compliance)),Custom field (Has the client been sold Compliance Configuration capabilities?),Custom field (How Client Found Error),Custom field (How Error Found),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Impact),Custom field (Importance),Custom field (Ingest Server: Data Retention),Custom field (Ingest Server: Disk Space),Custom field (Ingest Server: Flume Version),Custom field (Ingest Server: Java Version),Custom field (Ingest Server: Kafka Version),Custom field (Ingest Server: OS),Custom field (Investigator Console),Custom field (Investigator Server: 3rd Party Alerting Sources),Custom field (Investigator Server: Apache Version),Custom field (Investigator Server: App Server),Custom field (Investigator Server: Config Files Directory),Custom field (Investigator Server: Data Retention),Custom field (Investigator Server: ElasticSearch Version),Custom field (Investigator Server: Enrichment Sources: File Lookup),Custom field (Investigator Server: Enrichment Sources: Live Look Up),Custom field (Investigator Server: Java Version),Custom field (Investigator Server: OS),Custom field (Investigator Server: Postgres Version),Custom field (Investigator Server: Query Sources : External),Custom field (Investigator Server: Query Sources : Internal),Custom field (Investigator Server: Threat Intel Sources),Custom field (Investigator Server: Ticketing System),Custom field (Investigator Server:MongoDB Version),Custom field (JDK Version),Custom field (JIRA Synchronized Issues),Custom field (JobTracker),Custom field (Log Directory),Custom field (Log Directory (Accumulo)),Custom field (Log Directory (Local Machine)),Custom field (Log Directory (Oozie)),Custom field (Log Errors Visible),Custom field (Module Version Numbers),Custom field (Oozie),Custom field (Operating System Details (Compliance)),Custom field (Operating System Details (Cyber)),Custom field (Patch note),Custom field (Planning Status),Custom field (Primary CS Engineer),Custom field (Primary Cause),Custom field (Product Engineering Resource),Custom field (Product Engineering Resource (Discovery / SNA)),Custom field (Production System OS),Custom field (Production System OS (Compliance)),Custom field (Production System OS (Cyber)),Custom field (Project Test Phase),Custom field (Projectshare URL),Custom field (QA High-Level Estimate),Custom field (QA Investigation),Custom field (QA Investigation Notes),Custom field (QA Investigation Results),Custom field (Quality Flag),Custom field (Quality Flag),Custom field (RSM Assignee),Custom field (Rank),Custom field (Related Services JIRA Project (Compliance)),Custom field (Related Services JIRA Project (Cyber)),Custom field (Release Notes),Custom field (Release Platform Version Number),Custom field (Release Platform Version Number (Compliance)),Custom field (Release Product Version Number (Cyber)),Custom field (Remedial Actions Taken),Custom field (Reopen reason),Custom field (Reopened Count),Custom field (Reopened Date),Custom field (Replicating AIX Environment (Compliance)),Custom field (Reporter Contact Info),Custom field (Reporter ID),Custom field (Reproducible),Custom field (Request Title),Custom field (RequestInfoFromStatus),Custom field (Requirements Link),Custom field (Resolution Category),Custom field (Resolution Details),Custom field (Resolved By),Custom field (Reviewer),Custom field (Reviewer),Custom field (Root Cause Analysis),Custom field (SVN Tag),Custom field (Screen Name),Custom field (Skillset),Custom field (Source),Custom field (Source of Client Failure),Custom field (Source of Failure),Custom field (Special Adjustments for/by customer (Compliance)),Custom field (Special Adjustments for/by customer (Cyber)),Sprint,Sprint,Sprint,Custom field (Status Update),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (Support and Maintenance Code),Custom field (Target Resolution Date),Custom field (Test Case ID),Custom field (Testing Comments),Custom field (Testing Done),Custom field (Testing Done),Custom field (Testing Done),Custom field (Testing Done),Custom field (Testing Done),Custom field (URL and Specific Environment Name),Custom field (Verified),Custom field (Verified By),Custom field (Verified in Build),Custom field (WAS Version),Custom field (ZooKeeper Log Directory),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
CLONE - Error parsing tagtransformer AccountIDNumField50FTransformer2009,PLAT-20476,22413281,Defect,Resolved,PLAT,Platform,software,Pnolan,"Core Norkom product platform, all releases.",,1 - Critical,Fixed,emmartinc,emmartinc,AByrne1,13/Dec/2016 03:50 PM,21/Mar/2017 03:57 PM,11/Mar/2020 04:38 PM,27/Jan/2017 12:06 PM,7.2.,,,,,,,,,,,,,,,,,,,,,,7.3.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,,,,,"Se está produciendo este error de forma reiterativa desde el 30/11 a algunas horas concretas: 10:00, 04:00 etc

Error Timestamp: 12/12/2016 10:01:33 AM GMT+0100  
Error Type: Pre-process   
Error Code: SRV-20003  
Error Message: Could not parse the SWIFT message.  
Message Sequence: SWIFT-IN  
Failing Sequence Function:    
Failing Sequence Function Order No:    
Failing Record Number: 1  
Failing Record Identifier:    
Input Queue: queue://BKSUN.PRO.WF/BK.PBC.ES.FLTS.OUT  
Message Id: IBARCGB22XXX103F/798214024274#3211071#27B19794FFCF00C0#0  
Message Transformer: SWIFT_FLTS  
Source of Message: Real time  
Output Message:    
Message Data: {1:F01BKBKPTPLAXXX1215000016}{2:I103BARCGB22XXXXN}{X:{IUN:PTU1}}{4:
:20:F/798214024274
:23B:CRED
:23E:SDVA
:32A:161212EUR167,53
:33B:EUR167,53
:50F:/PT50003300000388010384828
1/ROCHA + LEITAO LDA
3/PT/PORTUGAL
:52A:BCOMPTPL
:57A:BARCPTPCXXX
:59:/PT50003200000030012751616
1/SNA Europe
3/PT/PORTUGAL
:70:Rocha e Leitao
:71A:SHA
:72:/ROC/NOTPROVIDED
/TRN/0033+++++PSXS1612091801203263
/OPID/
/BPID/
/CPUR/SUPP
-}   
Incoming Message: <Message>
<Id><![CDATA[IBARCGB22XXX103F/798214024274#3211071#27B19794FFCF00C0#0]]></Id>
<Type><![CDATA[SWIFT_FLTS]]></Type>
<Channel><![CDATA[SWIFT-IN]]></Channel>
<Data><![CDATA[{1:F01BKBKPTPLAXXX1215000016}{2:I103BARCGB22XXXXN}{X:{IUN:PTU1}}{4:
:20:F/798214024274
:23B:CRED
:23E:SDVA
:32A:161212EUR167,53
:33B:EUR167,53
:50F:/PT50003300000388010384828
1/ROCHA + LEITAO LDA
3/PT/PORTUGAL
:52A:BCOMPTPL
:57A:BARCPTPCXXX
:59:/PT50003200000030012751616
1/SNA Europe
3/PT/PORTUGAL
:70:Rocha e Leitao
:71A:SHA
:72:/ROC/NOTPROVIDED
/TRN/0033+++++PSXS1612091801203263
/OPID/
/BPID/
/CPUR/SUPP
-}]]></Data>
</Message> 
",,AByrne1,AManayangath,HMcArthur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAE Systems AI Internal,,,,EBE000191-291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage 1,,,,,Code Change,,,,,,,,,,,PE-2433,,,,,,,,,2016-12-13 16:10:37.883,No code merge sub-tasks are required. ,,,,,,,,,,,Watchlist Manager -> SWIFT Processing, 7.3.1.0-a6,,7.2.1.23,HMcArthur,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,Undetermined,,,,"2|hzmsyf:",,,,,,,,,,,,,,,,,,,,HMcArthur,,AManayangath,,,,,Norkom Services,,,,,,,,,"Send through a message with the following input for field 50F

:50F:/PT50003300000388010384828
1/ROCHA + LEITAO LDA
3/PT/PORTUGAL",,,,,QA testing passed,Manual tests passed,,,,,http://proddev-svn/svn/norkom/APPSRoot/Projects/Services/CMSX1985 ,,,,,,"13/Dec/2016 04:10 PM;AByrne1;Ashok,

This issue was found in the Bankinter project.

We identified that a refactoring of the class to support Swift Message Highlighting introduced a dependency on the Number 2 line when calculating the context marker positions.

There is no dependency referenced in the Swift Standards.

A code change was made for Bankinter which removed the dependency instead checking for a Number 2 line and where not present then checking for a Number 3.

I discussed this with Edward and the fix needs to go back into the product.

The fix is in the transform() method

{code}
            if (address.length()>0)
            {
                Utils.addValue2Map(map, ""50_addr"", address, false, true);
                startPosition = value.indexOf(""2/"");
                //EBE000191-291
                if ( startPosition == -1 ) //Number 2 not present, check for Number 3
                	startPosition = value.indexOf(""3/"");
                String subTag = value.substring(startPosition);
                //String subTag = value.substring(value.indexOf(""2/""));
                List<String> tokens = Arrays.asList(address.split(""\\s+""));
                String lastString = tokens.get(tokens.size() - 1);
                String addressTag = subTag.substring(0, subTag.indexOf(lastString) + lastString.length());
                offset = addressTag.length();
                customValuePositionsMap.put(""50_addr"", new int[]{startPosition, offset});
            }
 
{code}

I also added a junit test to the class AccountIDNumField50FTransformer2009Test

{code}
    public void testExample1x()
    {
        isoList = new ArrayList();
        isoList.add(""US"");
        isoList.add(""BE"");
        
        try
        {
            Map mp = tt.transform(""50"", ""F"", ""/12345678\n""+
                    ""1/SMITH JOHN\n""+
                    ""3/US/NEW YORK, NY 10017\n"" +
                    ""5/BE/BRUSSELS"");
            
            assertEquals(mp.size(), 7 );
            System.out.println(mp);
            
            assertEquals(isoList, mp.get(""50_iso2""));
            assertEquals(""12345678"", mp.get(""50_acc""));
            assertEquals(""SMITH JOHN"", mp.get(""50_name""));
            assertEquals( ""NEW YORK, NY 10017"", mp.get(""50_addr""));
            assertEquals( ""SMITH JOHN\n"" +
                          ""NEW YORK, NY 10017"", mp.get(""50_na""));
            assertEquals(""BRUSSELS"", mp.get(""50_pob""));

            
        }
        catch (SwiftTransformationException e)
        {
            fail();
        }
    }

{code}","18/Jan/2017 11:53 AM;AByrne1;The same issue has now also been found in Option59FFieldTransformer.buildCustomValuePositions()  Line 154.  

In calculating 59_addr highlight positions,  the code assumes that line 2/ is mandatory before a 3/,. which it is not.
","02/Mar/2017 03:08 PM;HMcArthur;pending QA this bug has now been fixed [~attractabyrne] as part of WLM-1097 (PLAT-20756 & PLAT-20757)","21/Mar/2017 03:57 PM;HMcArthur;QA now compelted and passed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Error parsing tagtransformer Option59FFieldTransformer,PLAT-20756,22419160,Defect,Resolved,PLAT,Platform,software,Pnolan,"Core Norkom product platform, all releases.",,1 - Critical,Fixed,emmartinc,emmartinc,AManayangath,02/Mar/2017 03:11 PM,02/Mar/2017 03:18 PM,11/Mar/2020 04:38 PM,02/Mar/2017 03:18 PM,7.2.,,,,,,,,,,,,,,,,,,,,,,7.3.1,,,,,,,,,,,,,,,,,,,,,,Watchlist Manager,,,,,,,,,"Se está produciendo este error de forma reiterativa desde el 30/11 a algunas horas concretas: 10:00, 04:00 etc

Error Timestamp: 12/12/2016 10:01:33 AM GMT+0100  
Error Type: Pre-process   
Error Code: SRV-20003  
Error Message: Could not parse the SWIFT message.  
Message Sequence: SWIFT-IN  
Failing Sequence Function:    
Failing Sequence Function Order No:    
Failing Record Number: 1  
Failing Record Identifier:    
Input Queue: queue://BKSUN.PRO.WF/BK.PBC.ES.FLTS.OUT  
Message Id: IBARCGB22XXX103F/798214024274#3211071#27B19794FFCF00C0#0  
Message Transformer: SWIFT_FLTS  
Source of Message: Real time  
Output Message:    
Message Data: {1:F01BKBKPTPLAXXX1215000016}{2:I103BARCGB22XXXXN}{X:{IUN:PTU1}}{4:
:20:F/798214024274
:23B:CRED
:23E:SDVA
:32A:161212EUR167,53
:33B:EUR167,53
:50F:/PT50003300000388010384828
1/ROCHA + LEITAO LDA
3/PT/PORTUGAL
:52A:BCOMPTPL
:57A:BARCPTPCXXX
:59:/PT50003200000030012751616
1/SNA Europe
3/PT/PORTUGAL
:70:Rocha e Leitao
:71A:SHA
:72:/ROC/NOTPROVIDED
/TRN/0033+++++PSXS1612091801203263
/OPID/
/BPID/
/CPUR/SUPP
-}   
Incoming Message: <Message>
<Id><![CDATA[IBARCGB22XXX103F/798214024274#3211071#27B19794FFCF00C0#0]]></Id>
<Type><![CDATA[SWIFT_FLTS]]></Type>
<Channel><![CDATA[SWIFT-IN]]></Channel>
<Data><![CDATA[{1:F01BKBKPTPLAXXX1215000016}{2:I103BARCGB22XXXXN}{X:{IUN:PTU1}}{4:
:20:F/798214024274
:23B:CRED
:23E:SDVA
:32A:161212EUR167,53
:33B:EUR167,53
:50F:/PT50003300000388010384828
1/ROCHA + LEITAO LDA
3/PT/PORTUGAL
:52A:BCOMPTPL
:57A:BARCPTPCXXX
:59:/PT50003200000030012751616
1/SNA Europe
3/PT/PORTUGAL
:70:Rocha e Leitao
:71A:SHA
:72:/ROC/NOTPROVIDED
/TRN/0033+++++PSXS1612091801203263
/OPID/
/BPID/
/CPUR/SUPP
-}]]></Data>
</Message> 
",,AManayangath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAE Systems AI Internal,,,,WLM-1097,PLAT-20476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage 1,,,,,Code Change,,,,,,,,,,,PE-2489,,,,,,,,,,No code merge sub-tasks are required. ,,,,,,,,,,,Watchlist Manager -> SWIFT Processing,7.3.1.0-a13,,7.2.1.23,HMcArthur,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,Undetermined,,,,"2|hzns53:",,,,,,,,,,,,,,,,,,,,HMcArthur,,AManayangath,,,,,Norkom Services,,,,,,,,,"Send through a message with the following input for field 50F

:50F:/PT50003300000388010384828
1/ROCHA + LEITAO LDA
3/PT/PORTUGAL",,,,,QA testing passed,Manual tests passed,,,,,http://proddev-svn/svn/norkom/APPSRoot/Projects/Services/CMSX1985 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ProfileIndex looping issue,PLAT-20771,22419465,Defect,New,PLAT,Platform,software,Pnolan,"Core Norkom product platform, all releases.",,1 - Critical,,EBaggott,josephwilliams,josephwilliams,06/Mar/2017 02:22 PM,04/Jul/2017 12:14 PM,11/Mar/2020 04:38 PM,,7.1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scenario Manager,,,,,,,,,"Check out insertNoCache() in profileStoreDB…We have a infinite loop happening because we are not catching an exception like we should. This line of code keeps getting thrown: throw new LearnerException(""LE-00001: Cannot INSERT due to ProfileIndex Key Violation. Profile with key '""+key+""' in table '""+tablename+""' is already there."");…This exception keeps getting hit but we don’t post it to our logs. All we do is throw it then it gets propagated and masked in our logs. So what happens is we keep trying to insert a new profile in profilestoredata but can’t because we have it is already in the profile index table. 

1) we need to have this error go to the logs (can’t believe this was tested and no one checked if it was being written to the logs).
2) we need to handle this exception better.
3)We can use the loop to our advantage and before we throw a expection we can delete the profileindex so that when it loops again it inserts into the correct tables without a error and moves on to the next account.

The following loop will happen in the logs:

 27-Feb-2017 21:36:24,134 - - ERROR ProfileStorageBase:1296 - Cannot decode Profile. Reinitializing Profile with key	007051712383@@Customer_Account@@1006_1006 
27-Feb-2017 21:36:24,157 - - INFO ProfileStorageBase:1354 - Wrote Profile that cannot be decoded to archive at /opt/bae/processing4/ApplicationHome/profilearchive/007051712383@@Customer_Account@@1006_1006.exception.txt 
27-Feb-2017 21:36:24,158 - - ERROR ProfileStoreDB:1431 - Illegal ProfileData. Cannot decode for Customer_Account/007051712383. Profile will be Reinitialized! 
27-Feb-2017 21:36:24,178 - - ERROR ProfileStorageBase:1296 - Cannot decode Profile. Reinitializing Profile with key	007051712383@@Customer_Account@@1006_1006 
27-Feb-2017 21:36:24,181 - - INFO ProfileStorageBase:1354 - Wrote Profile that cannot be decoded to archive at /opt/bae/processing4/ApplicationHome/profilearchive/007051712383@@Customer_Account@@1006_1006.exception.txt 
27-Feb-2017 21:36:24,182 - - ERROR ProfileStoreDB:1431 - Illegal ProfileData. Cannot decode for Customer_Account/007051712383. Profile will be Reinitialized! 
27-Feb-2017 21:36:24,185 - - WARN ProfileLock:199 - Processing Exception: Related profiles and source vectors are as : 007059391701@@CurrentBeneficiary_CurrentBeneficiary@@1006_1006 => (related profiles need to be rebuilt!)",,josephwilliams,VSavkoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAE Systems AI Internal,,,,,,,,,,,NFCU-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scenario Manager -> Profiles,,,7.1.1.10,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,,Undetermined,,,,"2|hznu1j:",,,,,,,,,,,,,,,,,,,,,,,,,,,Norkom Engineering,,,,,,,,,Delete a row from profilestoredata table. Keep the associated row in profileIndex table. Go into service manager and send a JMS message with a account associated with the profile. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
